../../misc_phd/input/lcs_instances/10-random-0-1-0.lcs,10,,,ave,stdev,stderr,conf,1.196
../../misc_phd/input/lcs_instances/10-random-0-1-1.lcs,13,,10,12.42,5.13097151491496,0.513097151491496,0.613664193183829,
../../misc_phd/input/lcs_instances/10-random-0-1-2.lcs,17,,20,38.92,12.3547561691844,1.23547561691844,1.47762883783445,
../../misc_phd/input/lcs_instances/10-random-0-1-3.lcs,18,,40,129.27,33.1049311228171,3.31049311228171,3.95934976228892,
../../misc_phd/input/lcs_instances/10-random-0-1-4.lcs,11,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-5.lcs,9,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-6.lcs,19,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-7.lcs,15,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-8.lcs,11,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-9.lcs,12,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-10.lcs,17,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-11.lcs,10,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-12.lcs,14,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-13.lcs,19,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-14.lcs,7,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-15.lcs,7,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-16.lcs,17,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-17.lcs,15,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-18.lcs,9,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-19.lcs,11,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-20.lcs,9,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-21.lcs,16,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-22.lcs,16,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-23.lcs,16,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-24.lcs,12,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-25.lcs,8,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-26.lcs,13,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-27.lcs,15,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-28.lcs,11,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-29.lcs,17,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-30.lcs,11,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-31.lcs,10,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-32.lcs,6,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-33.lcs,4,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-34.lcs,17,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-35.lcs,6,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-36.lcs,13,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-37.lcs,11,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-38.lcs,4,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-39.lcs,14,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-40.lcs,9,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-41.lcs,7,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-42.lcs,8,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-43.lcs,8,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-44.lcs,26,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-45.lcs,14,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-46.lcs,13,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-47.lcs,2,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-48.lcs,9,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-49.lcs,10,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-50.lcs,16,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-51.lcs,21,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-52.lcs,14,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-53.lcs,2,,,,,,,
