COMMENT,LCS2_lru_2021_03_27__10_42_00_k_3__d_2_cache_sizes_100_to_3000_problem_size_100
SORT_BY,
LABEL,FFRI
30.171429,83413
36.571429,82599
37.546667,82484
40,82311
44.8,61156
48,62274
51.2,61204
64,47151
81.92,46834
87.771429,31878
89.6,46272
96,46359
102.4,46591
128,31877
163.84,32462
175.542857,16306
179.2,34283
192,32400
204.8,32344
256,16228
327.68,16749
332.8,35738
351.085714,7656
358.4,15772
384,16630
409.6,15577
512,7761
655.36,7702
716.8,8307
768,7850
819.2,8307
896,8096
965.485714,8556
1024,8952
1433.6,4525
1638.4,4540
2129.92,4543
2402.986667,4543
2867.2,4287
3276.8,4287
4259.84,4287
