COMMENT,LCS2_lru_2021_03_27__10_42_00_k_3__d_2_cache_sizes_100_to_3000_problem_size_100
SORT_BY,
LABEL,FFRU Absolute
30.171429,78312
36.571429,75521
37.546667,75042
40,74576
44.8,57474
48,58613
51.2,57635
64,46020
81.92,45295
87.771429,31231
89.6,44544
96,45283
102.4,44753
128,31327
163.84,30795
175.542857,16509
179.2,30673
192,30592
204.8,30572
256,16046
327.68,16113
332.8,30667
351.085714,7021
358.4,15858
384,16029
409.6,15612
512,7046
655.36,7032
716.8,6945
768,7146
819.2,6889
896,7039
965.485714,7042
1024,6616
1433.6,4421
1638.4,4421
2129.92,4383
2402.986667,4386
2867.2,4287
3276.8,4287
4259.84,4287
