COMMENT,LCS2_lru_2021_03_27__10_42_00_k_3__d_2_cache_sizes_100_to_3000_problem_size_100
SORT_BY,
LABEL,FFRU Relative
30.171429,77699
36.571429,73400
37.546667,73335
40,72898
44.8,57363
48,58070
51.2,57502
64,45797
81.92,45340
87.771429,31614
89.6,42750
96,44822
102.4,43517
128,31057
163.84,30796
175.542857,15859
179.2,30296
192,30750
204.8,31386
256,15642
327.68,15527
332.8,31405
351.085714,7144
358.4,15558
384,15702
409.6,15928
512,6658
655.36,6119
716.8,6119
768,6143
819.2,6446
896,6251
965.485714,6297
1024,6409
1433.6,4405
1638.4,4330
2129.92,4326
2402.986667,4326
2867.2,4287
3276.8,4287
4259.84,4287
