COMMENT,NRI burma14 autogeneration or parameters for 90 percent load factor
SORT_BY,0
LABEL,NRI
7.542857,138873
7.542857,138873
7.542857,138873
7.542857,138873
7.542857,138873
9.142857,139452
9.142857,139452
10.422857,139452
11.142857,139452
15.085714,113699
15.085714,113699
15.085714,113699
15.085714,113699
18.285714,115990
18.285714,115990
18.285714,115990
19.885714,116790
20.845714,116754
21.485714,116754
22.285714,116754
23.085714,116754
24.142857,117028
30.171429,83413
30.171429,83413
30.171429,83413
30.171429,83413
30.171429,83413
30.171429,83413
36.571429,82599
36.571429,82599
36.571429,82599
36.571429,82599
36.571429,82599
36.571429,82599
39.771429,82484
39.771429,82484
39.771429,82484
41.691429,82638
41.691429,82638
42.971429,82651
43.885714,82710
44.571429,82705
45.104762,82614
46.171429,82614
47.112605,82614
48.285714,82861
49.106767,82861
50.019048,82861
51.038655,82861
52,82141
60.342857,61116
60.342857,61116
60.342857,61116
60.342857,61116
60.342857,61116
60.342857,61116
60.342857,61116
60.342857,61116
73.142857,60585
73.142857,60585
73.142857,60585
73.142857,60585
73.142857,60585
73.142857,60585
73.142857,60585
73.142857,60585
73.142857,60585
73.142857,60585
73.142857,60585
73.142857,60585
73.142857,60585
79.542857,60313
79.542857,60313
79.542857,60313
79.542857,60313
79.542857,60313
79.542857,60313
83.382857,59865
83.382857,59865
83.382857,59865
83.382857,59865
85.942857,59853
85.942857,59853
87.771429,59830
87.771429,59830
89.142857,59771
89.142857,59771
90.209524,59725
91.062857,59777
92.342857,59807
93.257143,59807
94.22521,59807
95.085714,59807
96.571429,59891
97.183193,59891
98.213534,59891
99.047619,59891
100.038095,59891
101.028571,59891
102.077311,59891
103.009524,59891
104,59891
105.006545,59442
106.006925,59442
107.019907,59442
120.685714,46450
120.685714,46450
120.685714,46450
120.685714,46450
120.685714,46450
120.685714,46450
120.685714,46450
120.685714,46450
120.685714,46450
120.685714,46450
120.685714,46450
120.685714,46450
120.685714,46450
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
146.285714,45987
159.085714,45936
159.085714,45936
159.085714,45936
159.085714,45936
159.085714,45936
159.085714,45936
159.085714,45936
159.085714,45936
159.085714,45936
159.085714,45936
159.085714,45936
159.085714,45936
159.085714,45936
166.765714,46028
166.765714,46028
166.765714,46028
166.765714,46028
166.765714,46028
166.765714,46028
166.765714,46028
171.885714,46010
171.885714,46010
171.885714,46010
171.885714,46010
171.885714,46010
175.542857,45930
175.542857,45930
175.542857,45930
175.542857,45930
178.285714,45986
178.285714,45986
178.285714,45986
180.419048,45896
180.419048,45896
182.125714,45950
182.125714,45950
183.522078,45851
184.685714,45890
185.67033,45890
186.514286,45890
187.245714,45890
188.45042,45890
189.401504,45890
190.171429,45890
191.75619,45788
193.142857,45816
193.142857,45816
194.366387,45722
195.453968,45722
196.427068,45722
197.302857,45722
198.095238,45722
199.473292,45722
200.07619,45722
201.142857,45722
202.057143,45722
203.207373,45722
204.154622,45722
205.184962,45722
206.019048,45722
207.009524,45722
208,45722
209.136941,45612
210.013091,45612
211.111869,45612
212.013851,45612
213.099789,45612
214.039814,45612
215.04,45612
216,45593
217.01322,45593
218.043646,46050
219.027679,46050
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
241.371429,32555
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
292.571429,35097
318.171429,35842
318.171429,35842
318.171429,35842
318.171429,35842
318.171429,35842
318.171429,35842
318.171429,35842
318.171429,35842
318.171429,35842
318.171429,35842
318.171429,35842
318.171429,35842
