COMMENT,arora_pr136_problem_size_136_nru_d_drunken_relative_2021_04_03__02_20_08_k_3__d_2_cache_sizes_2_to_64298
SORT_BY,136
LABEL,nru_d_drunken_relative cache sizes=2 to 64298 k=3 d=2
131072,64298
131072,64298
131072,64298
131072,64298
131072,64298
131072,64298
131072,64298
131072,64298
65536,64902
65536,64913
65536,64942
65536,64929
65536,64929
65536,64929
65536,64929
65536,64929
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
65536,65045
32768,74594
32768,74606
32768,74606
32768,74209
32768,74216
32768,74203
32768,74214
32768,74229
32768,74229
32768,74123
32768,74123
32768,74123
32768,73162
32768,73162
16384,128955
16384,129804
16384,129551
16384,130000
16384,127432
16384,127432
16384,125520
8192,753901
8192,738536
8192,661299
4096,1341638
4096,1323999
2048,3456679
512,10126256
