COMMENT,arora_u2319_problem_size_2319_nri_d_drunken_2021_04_03__02_56_20_k_3__d_2_cache_sizes_2_to_10731
SORT_BY,2319
LABEL,nri_d_drunken cache sizes=2 to 10731 k=3 d=2
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
8192,20023
8192,20158
8192,19923
8192,19923
8192,19785
8192,19785
8192,19785
8192,19775
8192,19789
8192,19786
8192,19427
8192,19427
8192,19427
8192,19419
8192,19411
8192,19441
8192,19366
8192,19192
8192,19192
8192,19192
8192,19291
8192,19291
8192,19291
8192,19291
8192,18941
8192,18941
8192,18941
8192,18941
8192,18941
8192,18941
8192,18941
8192,18941
8192,17058
8192,17058
8192,17058
8192,17058
4096,29456
4096,29521
4096,28608
4096,29069
4096,27790
4096,25068
4096,28801
4096,24968
4096,28154
4096,26101
4096,26101
4096,24349
4096,24349
4096,24349
4096,24349
4096,24349
4096,21607
2048,40523
2048,40261
2048,39095
2048,38827
2048,39077
2048,39594
2048,38769
2048,38769
2048,35459
1024,50339
1024,49058
1024,48160
1024,48867
512,67497
512,65601
512,61799
256,88606
64,135363
