COMMENT,arora_u2319_problem_size_2319_nru_d_drunken_absolute_2021_04_03__02_57_51_k_3__d_2_cache_sizes_2_to_10731
SORT_BY,2319
LABEL,nru_d_drunken_absolute cache sizes=2 to 10731 k=3 d=2
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
16384,10731
8192,14760
8192,14870
8192,14847
8192,14847
8192,14950
8192,14950
8192,14950
8192,14950
8192,14950
8192,14950
8192,14945
8192,14945
8192,14945
8192,14944
8192,14943
8192,14943
8192,14937
8192,14955
8192,14955
8192,14955
8192,14749
8192,14749
8192,14749
8192,14749
8192,14556
8192,14556
8192,14556
8192,14556
8192,14556
8192,14556
8192,14556
8192,14556
8192,13913
8192,13913
8192,13913
8192,13913
4096,23244
4096,23257
4096,23257
4096,23257
4096,23454
4096,23359
4096,23640
4096,24075
4096,23732
4096,23447
4096,23447
4096,22890
4096,22890
4096,22890
4096,22890
4096,22890
4096,23114
2048,35640
2048,36407
2048,36318
2048,36442
2048,36066
2048,35767
2048,35777
2048,35777
2048,33574
1024,46918
1024,46629
1024,46398
1024,45978
512,62939
512,62042
512,60185
256,85365
64,131995
