COMMENT,pr136 1 pt per border nri
SORT_BY,0
LABEL,FFRI
318.171429,12391662
1334.125714,3807849
2340.571429,1494759
3299.253156,1457204
4681.142857,759487
5336.502857,832116
6313.691429,859567
7723.885714,187110
9362.285714,189547
9362.285714,189547
10673.005714,198188
11410.285714,201318
12361.142857,203279
13305.084675,203929
15447.771429,81819
15447.771429,81819
18724.571429,83729
18724.571429,83729
18724.571429,83729
20362.971429,82281
20362.971429,82281
21346.011429,82338
22469.485714,82605
23312.091429,82710
24341.942857,82724
25356.190476,83174
26319.725714,83187
27303.305846,83689
30895.542857,65494
30895.542857,65494
30895.542857,65494
37449.142857,65494
37449.142857,65494
37449.142857,65494
37449.142857,65494
37449.142857,65494
37449.142857,65494
37449.142857,65494
40725.942857,65494
40725.942857,65494
40725.942857,65494
42692.022857,65494
42692.022857,65494
44002.742857,65494
44938.971429,65494
45641.142857,65494
46624.182857,65494
47531.604396,65494
48371.809524,65494
49444.571429,65363
50509.531429,65363
51361.499429,65363
52335.177143,65363
53300.461084,65363
54310.068706,65333
55309.98129,65369
56301.416252,65355
61791.085714,64298
61791.085714,64298
61791.085714,64298
61791.085714,64298
61791.085714,64298
74898.285714,64298
74898.285714,64298
74898.285714,64298
