COMMENT,arora_pr136_problem_size_136_nri_d_drunken_2021_04_03__01_34_47_k_3__d_2_cache_sizes_2_to_64298
SORT_BY,136
LABEL,nri_d_drunken cache sizes=2 to 64298 k=3 d=2
131072,64298
131072,64298
131072,64298
131072,64298
131072,64298
131072,64298
131072,64298
131072,64298
65536,65355
65536,65369
65536,65333
65536,65363
65536,65363
65536,65363
65536,65363
65536,65363
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
65536,65494
32768,83689
32768,83187
32768,83174
32768,82724
32768,82710
32768,82605
32768,82338
32768,82281
32768,82281
32768,83729
32768,83729
32768,83729
32768,81819
32768,81819
16384,203929
16384,203279
16384,201318
16384,198188
16384,189547
16384,189547
16384,187110
8192,859567
8192,832116
8192,759487
4096,1457204
4096,1494759
2048,3807849
512,12391662
