COMMENT,LCS2_lru_2021_03_26__14_39_06_k_3__d_2_cache_sizes_100_to_3005_problem_size_100
SORT_BY,
LABEL,X=0^a1^a2^(n-2a) Y=2^(n-2a)1^a0^a a=ceiling(n/3)
2,5
3,4
4,5
5,19
6,10
7,34
8,47
9,20
10,69
11,86
12,34
13,115
14,136
15,55
16,172
17,197
18,81
19,240
20,269
21,112
22,319
23,352
24,148
25,409
26,446
27,189
28,510
29,551
30,235
31,622
32,667
33,286
34,745
35,794
36,342
37,879
38,932
39,403
40,1024
41,1081
42,469
43,1180
44,1241
45,540
46,1347
47,1412
48,616
49,1525
50,1594
51,697
52,1714
53,1787
54,783
55,1914
56,1991
57,874
58,2125
59,2206
60,970
61,2347
62,2432
63,1071
64,2580
65,2669
66,1177
67,2824
68,2917
69,1288
70,3079
71,3176
72,1404
73,3345
74,3446
75,1525
76,3622
77,3727
78,1651
79,3910
80,4019
81,1782
82,4209
83,4322
84,1918
85,4519
86,4636
87,2059
88,4840
89,4961
90,2205
91,5172
92,5297
93,2356
94,5515
95,5644
96,2512
97,5869
98,6002
99,2673
100,6234
101,6371
102,2839
103,6610
104,6751
105,3010
106,6997
107,7142
108,3186
109,7395
110,7544
111,3367
112,7804
113,7957
114,3553
115,8224
116,8381
117,3744
118,8655
119,8816
120,3940
121,9097
122,9262
123,4141
124,9550
125,9719
126,4347
127,10014
128,10187
129,4558
130,10489
131,10666
132,4774
133,10975
134,11156
135,4995
136,11472
137,11657
138,5221
139,11980
140,12169
141,5452
142,12499
143,12692
144,5688
145,13029
146,13226
147,5929
148,13570
149,13771
150,6175
151,14122
152,14327
153,6426
154,14685
155,14894
156,6682
157,15259
158,15472
159,6943
160,15844
161,16061
162,7209
163,16440
164,16661
165,7480
166,17047
167,17272
168,7756
169,17665
170,17894
171,8037
172,18294
173,18527
174,8323
175,18934
176,19171
177,8614
178,19585
179,19826
180,8910
181,20247
182,20492
183,9211
184,20920
185,21169
186,9517
187,21604
188,21857
189,9828
190,22299
191,22556
192,10144
193,23005
194,23266
195,10465
196,23722
197,23987
198,10791
199,24450
200,24719
201,11122
202,25189
203,25462
204,11458
205,25939
206,26216
207,11799
208,26700
209,26981
210,12145
211,27472
212,27757
213,12496
214,28255
215,28544
216,12852
217,29049
218,29342
219,13213
220,29854
221,30151
222,13579
223,30670
224,30971
225,13950
226,31497
227,31802
228,14326
229,32335
230,32644
231,14707
232,33184
233,33497
234,15093
235,34044
236,34361
237,15484
238,34915
239,35236
240,15880
241,35797
242,36122
243,16281
244,36690
245,37019
246,16687
247,37594
248,37927
249,17098
250,38509
251,38846
252,17514
253,39435
254,39776
255,17935
256,40372
257,40717
258,18361
259,41320
260,41669
261,18792
262,42279
263,42632
264,19228
265,43249
266,43606
267,19669
268,44230
269,44591
270,20115
271,45222
272,45587
273,20566
274,46225
275,46594
276,21022
277,47239
278,47612
279,21483
280,48264
281,48641
282,21949
283,49300
284,49681
285,22420
286,50347
287,50732
288,22896
289,51405
290,51794
291,23377
292,52474
293,52867
294,23863
295,53554
296,53951
297,24354
298,54645
299,55046
300,24850
301,55747
302,56152
303,25351
304,56860
305,57269
306,25857
307,57984
308,58397
309,26368
310,59119
311,59536
312,26884
313,60265
314,60686
315,27405
316,61422
317,61847
318,27931
319,62590
320,63019
321,28462
322,63769
323,64202
324,28998
325,64959
326,65396
327,29539
328,66160
329,66601
330,30085
331,67372
332,67817
333,30636
334,68595
335,69044
336,31192
337,69829
338,70282
339,31753
340,71074
341,71531
342,32319
343,72330
344,72791
345,32890
346,73597
347,74062
348,33466
349,74875
350,75344
351,34047
352,76164
353,76637
354,34633
355,77464
356,77941
357,35224
358,78775
359,79256
360,35820
361,80097
362,80582
363,36421
364,81430
365,81919
366,37027
367,82774
368,83267
369,37638
370,84129
371,84626
372,38254
373,85495
374,85996
375,38875
376,86872
377,87377
378,39501
379,88260
380,88769
381,40132
382,89659
383,90172
384,40768
385,91069
386,91586
387,41409
388,92490
389,93011
390,42055
391,93922
392,94447
393,42706
394,95365
395,95894
396,43362
397,96819
398,97352
399,44023
400,98284
401,98821
402,44689
403,99760
404,100301
405,45360
406,101247
407,101792
408,46036
409,102745
410,103294
411,46717
412,104254
413,104807
414,47403
415,105774
416,106331
417,48094
418,107305
419,107866
420,48790
421,108847
422,109412
423,49491
424,110400
425,110969
426,50197
427,111964
428,112537
429,50908
430,113539
431,114116
432,51624
433,115125
434,115706
435,52345
436,116722
437,117307
438,53071
439,118330
440,118919
441,53802
442,119949
443,120542
444,54538
445,121579
446,122176
447,55279
448,123220
449,123821
450,56025
451,124872
452,125477
453,56776
454,126535
455,127144
456,57532
457,128209
458,128822
459,58293
460,129894
461,130511
462,59059
463,131590
464,132211
465,59830
466,133297
467,133922
468,60606
469,135015
470,135644
471,61387
472,136744
473,137377
474,62173
475,138484
476,139121
477,62964
478,140235
479,140876
480,63760
481,141997
482,142642
483,64561
484,143770
485,144419
486,65367
487,145554
488,146207
489,66178
490,147349
491,148006
492,66994
493,149155
494,149816
495,67815
496,150972
497,151637
498,68641
499,152800
500,153469
501,69472
502,154639
503,155312
504,70308
505,156489
506,157166
507,71149
508,158350
509,159031
510,71995
511,160222
512,160907
513,72846
514,162105
515,162794
516,73702
517,163999
518,164692
519,74563
520,165904
521,166601
522,75429
523,167820
524,168521
525,76300
526,169747
527,170452
528,77176
529,171685
530,172394
531,78057
532,173634
533,174347
534,78943
535,175594
536,176311
537,79834
538,177565
539,178286
540,80730
541,179547
542,180272
543,81631
544,181540
545,182269
546,82537
547,183544
548,184277
549,83448
550,185559
551,186296
552,84364
553,187585
554,188326
555,85285
556,189622
557,190367
558,86211
559,191670
560,192419
561,87142
562,193729
563,194482
564,88078
565,195799
566,196556
567,89019
568,197880
569,198641
570,89965
571,199972
572,200737
573,90916
574,202075
575,202844
576,91872
577,204189
578,204962
579,92833
580,206314
581,207091
582,93799
583,208450
584,209231
585,94770
586,210597
587,211382
588,95746
589,212755
590,213544
591,96727
592,214924
593,215717
594,97713
595,217104
596,217901
597,98704
598,219295
599,220096
600,99700
601,221497
602,222302
603,100701
604,223710
605,224519
606,101707
607,225934
608,226747
609,102718
610,228169
611,228986
612,103734
613,230415
614,231236
615,104755
616,232672
617,233497
618,105781
619,234940
620,235769
621,106812
622,237219
623,238052
624,107848
625,239509
626,240346
627,108889
628,241810
629,242651
630,109935
631,244122
632,244967
633,110986
634,246445
635,247294
636,112042
637,248779
638,249632
639,113103
640,251124
641,251981
642,114169
643,253480
644,254341
645,115240
646,255847
647,256712
648,116316
649,258225
650,259094
651,117397
652,260614
653,261487
654,118483
655,263014
656,263891
657,119574
658,265425
659,266306
660,120670
661,267847
662,268732
663,121771
664,270280
665,271169
666,122877
667,272724
668,273617
669,123988
670,275179
671,276076
672,125104
673,277645
674,278546
675,126225
676,280122
677,281027
678,127351
679,282610
680,283519
681,128482
682,285109
683,286022
684,129618
685,287619
686,288536
687,130759
688,290140
689,291061
690,131905
691,292672
692,293597
693,133056
694,295215
695,296144
696,134212
697,297769
698,298702
699,135373
700,300334
701,301271
702,136539
703,302910
704,303851
705,137710
706,305497
707,306442
708,138886
709,308095
710,309044
711,140067
712,310704
713,311657
714,141253
715,313324
716,314281
717,142444
718,315955
719,316916
720,143640
721,318597
722,319562
723,144841
724,321250
725,322219
726,146047
727,323914
728,324887
729,147258
730,326589
731,327566
732,148474
733,329275
734,330256
735,149695
736,331972
737,332957
738,150921
739,334680
740,335669
741,152152
742,337399
743,338392
744,153388
745,340129
746,341126
747,154629
748,342870
749,343871
750,155875
751,345622
752,346627
753,157126
754,348385
755,349394
756,158382
757,351159
758,352172
759,159643
760,353944
761,354961
762,160909
763,356740
764,357761
765,162180
766,359547
767,360572
768,163456
769,362365
770,363394
771,164737
772,365194
773,366227
774,166023
775,368034
776,369071
777,167314
778,370885
779,371926
780,168610
781,373747
782,374792
783,169911
784,376620
785,377669
786,171217
787,379504
788,380557
789,172528
790,382399
791,383456
792,173844
793,385305
794,386366
795,175165
796,388222
797,389287
798,176491
799,391150
800,392219
801,177822
802,394089
803,395162
804,179158
805,397039
806,398116
807,180499
808,400000
809,401081
810,181845
811,402972
812,404057
813,183196
814,405955
815,407044
816,184552
817,408949
818,410042
819,185913
820,411954
821,413051
822,187279
823,414970
824,416071
825,188650
826,417997
