COMMENT,olcs4 traceback
SORT_BY,0
LABEL,X=0^a1^a2^(n-2a) Y=2^(n-2a)1^a0^a a=ceiling(n/3)
2,5
3,6
4,8
5,10
6,12
7,14
8,16
9,18
10,20
11,49
12,24
13,57
14,28
15,65
16,32
17,73
18,36
19,81
20,40
21,89
22,44
23,97
24,48
25,105
26,52
27,113
28,56
29,121
30,60
31,129
32,64
33,137
34,68
35,145
36,72
37,153
38,76
39,78
40,206
41,254
42,84
43,221
44,272
45,90
46,236
47,290
48,96
49,251
50,308
51,102
52,266
53,326
54,108
55,281
56,344
57,114
58,296
59,362
60,120
61,311
62,380
63,126
64,326
65,398
66,132
67,341
68,416
69,138
70,356
71,434
72,144
73,371
74,452
75,150
76,386
77,470
78,156
79,401
80,488
81,162
82,416
83,506
84,168
85,431
86,524
87,174
88,446
89,542
90,180
91,461
92,560
93,186
94,476
95,578
96,192
97,491
98,596
99,198
100,506
101,614
102,723
103,835
104,208
105,637
106,751
107,867
108,216
109,661
110,779
111,899
112,224
113,685
114,807
115,931
116,232
117,709
118,835
119,963
120,240
121,733
122,863
123,995
124,248
125,757
126,891
127,1027
128,256
129,781
130,919
131,1059
132,264
133,805
134,947
135,1091
136,272
137,829
138,975
139,1123
140,280
141,853
142,1003
143,1155
144,288
145,877
146,1031
147,1187
148,296
149,901
150,1059
151,1219
152,304
153,925
154,1087
155,1251
156,312
157,949
158,1115
159,1283
160,320
161,973
162,1143
163,1315
164,328
165,997
166,1171
167,1347
168,336
169,1021
170,1199
171,1379
172,344
173,1045
174,1227
175,1411
176,352
177,1069
178,1255
179,1443
180,360
181,1093
182,1283
183,1475
184,368
185,1117
186,1311
187,1507
188,376
189,1141
190,1339
191,1539
192,384
193,1165
194,1367
195,1571
196,392
197,1189
198,1395
199,1603
200,400
201,1213
202,1423
203,1635
204,408
205,1237
206,1451
207,1667
208,416
209,1261
210,1479
211,1699
212,424
213,1285
214,2154
215,430
216,1520
217,1746
218,1974
219,2204
220,440
221,1555
222,1786
223,2019
224,2254
225,450
226,1590
227,1826
228,2064
229,2304
230,460
231,1625
232,1866
233,2109
234,2354
235,470
236,1660
237,1906
238,2154
239,2404
240,480
241,1695
242,1946
243,2199
244,2454
245,490
246,1730
247,1986
248,2244
249,2504
250,500
251,1765
252,2026
253,2289
254,2554
255,510
256,1800
257,2066
258,2334
259,2604
260,520
261,1835
262,2106
263,2379
264,2654
265,530
266,1870
267,2146
268,2424
269,2704
270,540
271,1905
272,2186
273,2469
274,2754
275,550
276,1940
277,2226
278,2514
279,2804
280,560
281,1975
282,2266
283,2559
284,2854
285,570
286,2010
287,2306
288,2604
289,2904
290,580
291,2045
292,2346
293,2649
294,2954
295,590
296,2080
297,2386
298,2694
299,3004
300,600
301,2115
302,2426
303,2739
304,3054
305,610
306,2150
307,2466
308,2784
309,3104
310,620
311,2185
312,2506
313,2829
314,3154
315,630
316,2220
317,2546
318,2874
319,3204
320,640
321,2255
322,2586
323,2919
324,3254
325,650
326,2290
327,2626
328,2964
329,3304
330,660
331,2325
332,2666
333,3009
334,3354
335,670
336,2360
337,2706
338,3054
339,3404
340,680
341,2395
342,2746
343,3099
344,3454
345,690
346,2430
347,2786
348,3144
349,3504
350,700
351,2465
352,2826
353,3189
354,3554
355,710
356,2500
357,2866
358,3234
359,3604
360,720
361,2535
362,2906
363,3279
364,3654
365,730
366,2570
367,2946
368,3324
369,3704
370,740
371,2605
372,2986
373,3369
374,3754
375,750
376,2640
377,3026
378,3414
379,3804
380,760
381,2675
382,3066
383,3459
384,3854
385,770
386,2710
387,3106
388,3504
389,3904
390,780
391,2745
392,3146
393,3943
394,4349
395,4757
396,792
397,3185
398,3593
399,4003
400,4415
401,4829
402,804
403,3233
404,3647
405,4063
406,4481
407,4901
408,816
409,3281
410,3701
