COMMENT,prefix_suffix_single_lru_2021_03_28__22_35_54_k_3__d_2_cache_sizes_10_to_100_problem_size_10000
SORT_BY,10000
LABEL,lru cache sizes=10 to 100
101,504901
100,509950
99,515104
98,520365
97,525736
96,531220
95,536820
94,542539
93,548380
92,554346
91,560449
90,566696
89,573079
88,579601
87,586288
86,593128
85,600121
84,607300
83,614637
82,622171
81,629876
80,637795
79,645904
78,654226
77,662773
76,671542
75,680545
74,689796
73,699310
72,709090
71,719148
70,729496
69,740149
68,751126
67,762433
66,774082
65,786100
64,798499
63,811297
62,824511
61,838174
60,852296
59,866904
58,882025
57,897686
56,913914
55,930745
54,948214
53,966352
52,985198
51,1004801
50,1025206
49,1046464
48,1068622
47,1091745
46,1115893
45,1141141
44,1167564
43,1195240
42,1224271
41,1254751
40,1286800
39,1320529
38,1356085
37,1393615
36,1433290
35,1475296
34,1519849
33,1567192
32,1617585
31,1671337
30,1728796
29,1790359
28,1856485
27,1927696
26,2004601
25,2087920
24,2178481
23,2277276
