COMMENT,prefix_suffix_single_lru_2021_03_28__22_35_54_k_3__d_2_cache_sizes_10_to_100_problem_size_10000
SORT_BY,10000
LABEL,lru cache sizes=10 to 100
10000,504901
10000,509950
10000,515104
10000,520365
10000,525736
10000,531220
10000,536820
10000,542539
10000,548380
10000,554346
10000,560449
10000,566696
10000,573079
10000,579601
10000,586288
10000,593128
10000,600121
10000,607300
10000,614637
10000,622171
10000,629876
10000,637795
10000,645904
10000,654226
10000,662773
10000,671542
10000,680545
10000,689796
10000,699310
10000,709090
10000,719148
10000,729496
10000,740149
10000,751126
10000,762433
10000,774082
10000,786100
10000,798499
10000,811297
10000,824511
10000,838174
10000,852296
10000,866904
10000,882025
10000,897686
10000,913914
10000,930745
10000,948214
10000,966352
10000,985198
10000,1004801
10000,1025206
10000,1046464
10000,1068622
10000,1091745
10000,1115893
10000,1141141
10000,1167564
10000,1195240
10000,1224271
10000,1254751
10000,1286800
10000,1320529
10000,1356085
10000,1393615
10000,1433290
10000,1475296
10000,1519849
10000,1567192
10000,1617585
10000,1671337
10000,1728796
10000,1790359
10000,1856485
10000,1927696
10000,2004601
10000,2087920
10000,2178481
10000,2277276
