COMMENT,LCS2_lru_2021_03_27__10_42_00_k_3__d_2_cache_sizes_100_to_3000_problem_size_100
SORT_BY,
LABEL,LRU
23,2277276
24,2178481
25,2087920
26,2004601
27,1927696
28,1856485
29,1790359
30,1728796
31,1671337
32,1617585
33,1567192
34,1519849
35,1475296
36,1433290
37,1393615
38,1356085
39,1320529
40,1286800
41,1254751
42,1224271
43,1195240
44,1167564
45,1141141
46,1115893
47,1091745
48,1068622
49,1046464
50,1025206
51,1004801
52,985198
53,966352
54,948214
55,930745
56,913914
57,897686
58,882025
59,866904
60,852296
61,838174
62,824511
63,811297
64,798499
65,786100
66,774082
67,762433
68,751126
69,740149
70,729496
71,719148
72,709090
73,699310
74,689796
75,680545
76,671542
77,662773
78,654226
79,645904
80,637795
81,629876
82,622171
83,614637
84,607300
85,600121
86,593128
87,586288
88,579601
89,573079
90,566696
91,560449
92,554346
93,548380
94,542539
95,536820
96,531220
97,525736
98,520365
99,515104
100,509950
101,504901
